City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,sao jose da coroa grande,-8.8978,-35.1478,27.59,62,26,5.1,BR,1732906013
187,khovd,48.0056,91.6419,-12.85,73,18,0.74,MN,1732906014
188,valparaiso,-33.0393,-71.6273,20.8,49,0,6.69,CL,1732906015
189,qui nhon,13.7667,109.2333,22.08,84,100,6.17,VN,1732906016
190,goundam,16.4145,-3.6708,24.47,13,0,4.83,ML,1732906017
191,sitka,57.0531,-135.33,-2.06,50,40,4.63,US,1732906019
192,richards bay,-28.783,32.0377,20.88,64,56,5.15,ZA,1732906020
193,south upi,6.8333,124.15,22.95,89,100,1.28,PH,1732906021
194,happy valley-goose bay,53.3168,-60.3315,0.17,93,100,5.14,CA,1732906022
195,gadzhiyevo,69.2551,33.3362,-2.41,75,8,11.74,RU,1732905698
196,alotau,-10.3069,150.4462,25.56,94,100,1.59,PG,1732906026
197,ribeira grande,38.5167,-28.7,17.22,67,40,9.77,PT,1732905644
198,tosontsengel,48.7567,98.2839,-19.26,93,6,0.78,MN,1732906028
199,kakching,24.4833,93.9833,13.18,96,91,0.26,IN,1732906029
200,edgewater,28.9889,-80.9023,19.45,82,100,5.14,US,1732906031
201,tsumeb,-19.2333,17.7167,28.74,11,100,6.08,NA,1732906032
202,turinsk,58.0458,63.696,-2.33,98,100,1.59,RU,1732906033
203,lompoc,34.6391,-120.4579,16.74,61,0,3.6,US,1732906034
204,aasiaat,68.7098,-52.8699,-12.19,81,83,2.39,GL,1732906035
205,kavaratti,10.5669,72.642,27.85,62,100,6.75,IN,1732906036
206,san angelo,31.4638,-100.437,11.34,37,100,1.79,US,1732906038
207,socorro,31.6546,-106.3033,11.55,43,100,5.14,US,1732906039
208,greymouth,-42.4667,171.2,12.66,77,2,1.76,NZ,1732906040
209,acarau,-2.8856,-40.12,28.78,62,100,8.4,BR,1732905654
210,mahibadhoo,3.7833,72.9667,28.29,71,100,8.96,MV,1732906042
211,keflavik,64.0049,-22.5624,-3.76,58,0,6.17,IS,1732906043
212,suances,43.4334,-4.0434,13.95,74,0,0.51,ES,1732906045
213,saint-philippe,-21.3585,55.7679,24.5,84,41,6.83,RE,1732906047
214,zhezqazghan,47.7833,67.7667,1.94,90,100,2.42,KZ,1732906049
215,susuman,62.7833,148.1667,-25.14,99,83,0.32,RU,1732906051
216,st. john's,47.5649,-52.7093,5.64,96,100,12.86,CA,1732906010
217,qarazhal,48.0078,70.7903,1.54,94,100,1.55,KZ,1732906053
218,kremenchuk,49.0973,33.4197,-0.11,72,100,2.35,UA,1732906054
219,toccoa,34.5773,-83.3324,10.77,44,0,4.63,US,1732906055
220,axim,4.8699,-2.2405,26.92,77,0,4.1,GH,1732906056
221,pangoa,-12.1167,-73.0,25.75,79,100,0.63,PE,1732906058
222,selfoss,63.9331,-20.9971,-4.98,38,100,4.81,IS,1732906059
223,mahina,-17.5065,-149.489,28.87,70,40,2.57,PF,1732906060
224,zuromin,53.0661,19.9089,4.12,81,100,2.56,PL,1732906061
225,sisimiut,66.9395,-53.6735,-7.61,83,99,3.26,GL,1732906062
226,villa canas,-34.0057,-61.6076,28.3,10,60,2.83,AR,1732906064
227,olinda,-8.0089,-34.8553,28.85,61,40,5.66,BR,1732906065
228,stanley,54.868,-1.6985,6.01,87,0,2.06,GB,1732906066
229,ponta delgada,37.7333,-25.6667,19.4,82,40,8.75,PT,1732906067
230,tobarra,38.5921,-1.6919,15.6,52,56,4.61,ES,1732906068
231,port alfred,-33.5906,26.891,18.43,77,17,0.89,ZA,1732906070
232,kununurra,-15.7667,128.7333,25.99,94,99,0.0,AU,1732906072
233,saldanha,-33.0117,17.9442,21.03,86,5,8.62,ZA,1732906074
234,cabugao,17.7931,120.4578,23.52,81,100,2.21,PH,1732906075
235,mlimba,-8.8,35.8167,28.97,54,87,1.07,TZ,1732906076
236,thompson,55.7435,-97.8558,-14.91,85,100,2.06,CA,1732906077
237,howard springs,-12.497,131.047,25.95,95,100,1.78,AU,1732906079
238,juan griego,11.0817,-63.9655,30.77,63,54,6.6,VE,1732906080
239,belle fourche,44.6714,-103.8522,-3.29,73,100,3.39,US,1732906083
240,palikir - national government center,6.9248,158.1611,27.41,83,100,1.54,FM,1732906085
241,prince rupert,54.3161,-130.3201,4.83,70,100,5.14,CA,1732906089
242,taoudenni,22.6783,-3.9836,22.94,17,100,5.73,ML,1732906090
243,crossett,33.1282,-91.9612,9.97,31,0,3.72,US,1732906091
244,portland,45.5234,-122.6762,5.34,87,100,1.54,US,1732905592
245,luwuk,-0.9516,122.7875,23.84,89,92,0.94,ID,1732906094
246,nelson bay,-32.7167,152.15,21.73,98,100,6.26,AU,1732906095
247,dong ha,16.8163,107.1003,18.9,86,99,0.89,VN,1732906096
248,coahuayana de hidalgo,18.7,-103.6583,30.45,62,24,3.29,MX,1732906097
249,constantia,44.1833,28.65,6.5,75,99,4.16,RO,1732905697
250,salekhard,66.53,66.6019,-6.72,93,100,4.86,RU,1732906100
251,alice springs,-23.7,133.8833,23.75,50,100,2.57,AU,1732906101
252,maamba,-17.3667,27.15,26.73,58,47,2.19,ZM,1732906102
253,benguela,-12.5763,13.4055,25.45,78,90,0.94,AO,1732906103
254,christchurch,-43.5333,172.6333,13.11,72,100,1.54,NZ,1732905855
